کارکرد,مدل (سال تولید),رنگ,برند و تیپ,نوع سوخت,وضعیت موتور,وضعیت شاسی‌ها,وضعیت بدنه,مهلت بیمهٔ شخص ثالث,گیربکس,قیمت پایه,شاسی جلو,شاسی عقب,نمایشگاه,نوع آگهی,مایل به معاوضه,حداقل مبلغ پیش‌پرداخت,مبلغ هر قسط,تعداد اقساط,فروشنده
۲۴۰٬۰۰۰,۱۳۸۸,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,رنگ‌شدگی,۱۱ ماه,دنده‌ای,۲۷۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۴۰۰٬۰۰۰,۱۳۸۲,نقرآبی,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,دوررنگ,۶ ماه,دنده‌ای,۲۰۰٬۰۰۰٬۰۰۰ تومان,,,,فروشی,,,,,
۱۱۰٬۰۰۰,۱۳۹۵,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,رنگ‌شدگی، در ۱ ناحیه,۳ ماه,دنده‌ای,۳۴۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۱۵٬۰۰۰,۱۴۰۱,سفید,پژو 206 تیپ ۲,بنزینی,,سالم و پلمپ,خط و خش جزیی,,,۴۷۲٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۱۹٬۰۰۰,۱۴۰۰,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,۴۶۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۲۷٬۰۰۰,۱۳۹۸,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,۴۵۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۱۵۵٬۰۰۰,۱۳۸۹,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,۲۸۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۴۹٬۰۰۰,۱۳۹۹,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۶ ماه,دنده‌ای,۴۱۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۰,۱۴۰۱,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,۵۲۰٬۰۰۰٬۰۰۰ تومان,,,کیان خودرو سعادت آباد,فروشی,,۳۱۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۰۰۰٬۰۰۰ تومان,۸ قسط,
۱۱۰٬۰۰۰,۱۳۹۶,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,۳۶۳٬۰۰۰٬۰۰۰ تومان,,,,فروشی,,,,,
۴۵٬۰۰۰,۱۳۹۸,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۲ ماه,دنده‌ای,۴۱۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۲۷٬۰۰۰,۱۳۹۸,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۸ ماه,دنده‌ای,۳۸۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۳۵٬۰۰۰,۱۴۰۰,مشکی,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,۴۳۰٬۰۰۰٬۰۰۰ تومان,,,,فروشی,,,,,
۳۷۰٬۰۰۰,۱۳۸۴,خاکستری,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,دوررنگ,۱۲ ماه,دنده‌ای,۱۹۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۱۷۰٬۰۰۰,۱۳۸۹,نوک‌مدادی,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,دنده‌ای,۲۵۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۱۸٬۵۰۰,۱۴۰۰,مشکی,پژو 206 تیپ ۲,بنزینی,,سالم و پلمپ,سالم و بی‌خط و خش,,,۴۴۸٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۶۸٬۵۰۰,۱۳۹۸,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,رنگ‌شدگی,۸ ماه,,۳۷۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۳۰۰٬۰۰۰,۱۳۸۳,نقرآبی,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,دوررنگ,۸ ماه,دنده‌ای,۲۱۰٬۰۰۰٬۰۰۰ تومان,,,,فروشی,,,,,
۳۸٬۸۰۰,۱۳۹۹,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,۴۲۲٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۲۳۰٬۰۰۰,۱۳۸۹,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,۱۵۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۱۳۵٬۰۰۰,۱۳۹۴,نوک‌مدادی,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,خط و خش جزیی,۱ ماه,دنده‌ای,۳۱۰٬۰۰۰٬۰۰۰ تومان,,,,,هستم,,,,
